date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:17:06	23424/23424	---M--	200	added ('OK')	application/font-woff	date:Thu,%2006%20Jul%202017%2009:58:47%20GMT	http://kpens.us/wp-content/themes/shapely/inc/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/glyphicons-halflings-regular.woff	(from http://kpens.us/wp-content/themes/shapely/inc/css/bootstrap.min.css?ver=4.8)
07:17:13	53062/-1	---M--	200	added ('OK')	application/json	date:Thu,%2006%20Jul%202017%2011:17:04%20GMT	http://kpens.us/wp-json/	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/index-4.html	(from http://kpens.us/)
07:17:14	45404/45404	---M--	200	added ('OK')	application/x-font-ttf	date:Thu,%2006%20Jul%202017%2009:58:47%20GMT	http://kpens.us/wp-content/themes/shapely/inc/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/glyphicons-halflings-regular.ttf	(from http://kpens.us/wp-content/themes/shapely/inc/css/bootstrap.min.css?ver=4.8)
07:17:14	782/782	URF---	200	added ('OK%20(cached)')	application/php		http://kpens.us/xmlrpc.php?rsd	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/xmlrpc0db0.php	(from http://kpens.us/)
07:17:14	108738/108738	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2006%20Jul%202017%2009:58:47%20GMT	http://kpens.us/wp-content/themes/shapely/inc/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/glyphicons-halflings-regular.svg	(from http://kpens.us/wp-content/themes/shapely/inc/css/bootstrap.min.css?ver=4.8)
07:17:15	1216/1216	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Thu,%2006%20Jul%202017%2011:17:14%20GMT	http://kpens.us/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/wlwmanifest.xml	(from http://kpens.us/)
07:17:15	2166/2166	URF---	200	added ('OK%20(cached)')	application/json		http://kpens.us/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkpens.us%2F	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/embededed.json	(from http://kpens.us/)
07:17:16	1216/1216	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Thu,%2006%20Jul%202017%2011:17:16%20GMT	http://kpens.us/wp-content/uploads/2017/07/cropped-site_icon-32x32.jpg	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/cropped-site_icon-32x32.jpg	(from http://kpens.us/)
07:17:16	2269/2269	URF---	200	added ('OK%20(cached)')	application/octet-stream		http://kpens.us/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkpens.us%2F&format=xml	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/embedcba9	(from http://kpens.us/)
07:17:17	1216/1216	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Thu,%2006%20Jul%202017%2011:17:17%20GMT	http://kpens.us/wp-content/uploads/2017/07/cropped-site_icon-192x192.jpg	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/cropped-site_icon-192x192.jpg	(from http://kpens.us/)
